event_id,headline,event_date,current_primary_ticker,flags,reason,manual_review_priority,fast_to_clean_score,fast_to_clean_reason,proposed_primary_ticker,proposed_benchmark,proposed_mechanism_family,ticker_rationale,exclude_reason
153,Trump signs order imposing sanctions on International Criminal Court over investigations of ally Israel,2026-04-29,,missing_market_tickers,missing_market_tickers,medium,10,has_event_date|plausible_headline|bonus_missing_market_tickers,,,,,No direct investable issuer; geopolitical sanctions/legal-policy headline
154,"Take action over officials in Kyrgyzstan �helping Russia evade sanctions�, MPs and peers say",2026-04-23,,missing_market_tickers,missing_market_tickers,medium,10,has_event_date|plausible_headline|bonus_missing_market_tickers,,,,,No direct investable issuer; sanctions-evasion political headline
160,Iran's FM Araghchi arrives in Pakistan ahead of planned US ceasefire talks - France 24,2026-04-24,,missing_market_tickers,missing_market_tickers,medium,10,has_event_date|plausible_headline|bonus_missing_market_tickers,,,,,Diplomatic ceasefire-talk headline with no direct investable issuer or clear market instrument
206,Photos show China�s automakers unveiling the future of driving at Beijing auto show,2026-04-28,,missing_market_tickers,missing_market_tickers,medium,10,has_event_date|plausible_headline|bonus_missing_market_tickers,,,,,Broad auto-show/photo feature with no specific issuer or discrete market shock
207,Suspect in killing of 2 Florida graduate students from Bangladesh held without bond,2026-04-29,,missing_market_tickers,missing_market_tickers,medium,10,has_event_date|plausible_headline|bonus_missing_market_tickers,,,,,Off-topic crime story with no investable issuer or market mechanism
208,Mexico's military captures top cartel leader in another blow to the Jalisco New Generation Cartel,2026-04-29,,missing_market_tickers,missing_market_tickers,medium,10,has_event_date|plausible_headline|bonus_missing_market_tickers,,,,,Off-topic law-enforcement/cartel story with no direct investable issuer
216,King to meet Trump off-camera amid clash fears before Charles� Congress speech � US politics live,2026-04-29,,missing_market_tickers,missing_market_tickers,medium,10,has_event_date|plausible_headline|bonus_missing_market_tickers,,,,,Political/live-coverage headline with no direct investable issuer or market mechanism
220,US tariff refund system launches for companies to claim billions in import taxes - France 24,2026-04-30,,missing_market_tickers,missing_market_tickers,medium,10,has_event_date|plausible_headline|bonus_missing_market_tickers,,,,,Broad tariff-administration headline with no specific issuer or clean sector exposure
226,Ukraine accuses Israel of importing grain �stolen� by Russia as Zelenskyy warns of sanctions,2026-04-29,,missing_market_tickers,missing_market_tickers,medium,10,has_event_date|plausible_headline|bonus_missing_market_tickers,,,,,Geopolitical sanctions/grain accusation with no direct investable issuer
231,"Bank of England faces the 'most difficult combination,' says governor Bailey as energy prices soar",2026-04-30,,missing_market_tickers,missing_market_tickers,medium,10,has_event_date|plausible_headline|bonus_missing_market_tickers,,,,,Central-bank macro commentary without a direct equity ticker candidate
237,Guardian Essential poll: Australians want higher tax on gas exports and extension of petrol excise cut,2026-05-01,,missing_market_tickers,missing_market_tickers,medium,10,has_event_date|plausible_headline|bonus_missing_market_tickers,,,,,"Polling headline on tax preferences, not an implemented market-moving event"
281,"Canada will match US tariff exemptions under USMCA trade pact, Prime Minister Carney says",2026-05-05,,missing_market_tickers,missing_market_tickers,medium,10,has_event_date|plausible_headline|bonus_missing_market_tickers,,,,,Broad trade-policy headline without a direct issuer-specific ticker
112,Test headline,2026-04-18,,missing_market_tickers,missing_market_tickers,medium,9,has_event_date|short_or_missing_headline|bonus_missing_market_tickers,,,,,"Synthetic test headline, not production-like market data"
47,Saudis Raise Oil Price to Record Premium as War Riles Markets,2026-04-06,XOM,mechanism_family_none|duplicate_date_ticker,contaminated_fully_ready,medium,7,has_event_date|plausible_headline|has_ticker_lead|penalty_duplicate_date_ticker,,,,,Duplicate same-date XOM oil-supply/pricing item; keep cleaner OPEC output-cut row instead
60,FirstFT: Trump threatens to attack Iran�s power plants and bridges unless it reopens Strait of Hormuz,2026-04-08,XOM,mechanism_family_none|duplicate_date_ticker,contaminated_fully_ready,medium,7,has_event_date|plausible_headline|has_ticker_lead|penalty_duplicate_date_ticker,XOM,XLE,supply_shock,Hormuz reopening threat is an oil-supply risk; XOM is the liquid US oil major proxy and XLE is the sector benchmark,
64,AP News: OPEC members discuss extending output cuts through next quarter,2026-04-08,XOM,mechanism_family_none|duplicate_date_ticker,contaminated_fully_ready,medium,7,has_event_date|plausible_headline|has_ticker_lead|penalty_duplicate_date_ticker,,,,,Duplicate same-date XOM oil-supply item; keep sharper Hormuz supply-risk row instead
73,OPEC members agree to extend voluntary oil output cuts through next quarter,2026-04-06,XOM,mechanism_family_none|duplicate_date_ticker,contaminated_fully_ready,medium,7,has_event_date|plausible_headline|has_ticker_lead|penalty_duplicate_date_ticker,XOM,XLE,supply_shock,OPEC voluntary output-cut extension is an oil-supply shock; XOM is the liquid US oil major proxy and XLE is the sector benchmark,
